,PC1,PC2
0,26.54040161392285,571.1892916088012
1,139.86105938404995,98.42352711952998
2,834.5782956098212,-302.9672981451691
3,80.14447472278367,359.703945117137
4,1419.7913947809514,-435.8930063941384
5,548.3191479320349,-587.5628337997914
6,130.21424365005922,323.37432831694684
7,-19.746031208916964,-81.37663716262877
8,-327.9522106280554,-216.4140252582186
9,608.2550139706474,-640.0036585505568
10,508.6074038105072,-7.794422241976827
11,378.57249386698294,288.15944399840396
12,212.13013484658933,-8.046307417232129
13,299.04855502421566,526.6171202268785
14,332.2575021799231,585.5685403447096
15,258.9583406478298,217.33408176264064
16,606.2863268374565,522.1376665390194
17,-26.76440978921727,121.44997147229438
18,477.5564983844777,-329.73030222238424
19,530.2166992695009,551.4196190860025
20,-554.6574576961474,372.54382276559795
21,-288.28884818929834,251.94906378538235
22,-621.5565923763048,191.19322873365778
23,-332.88151232021477,-42.557655998321465
24,-448.5567562542476,-245.03912811960546
25,-355.80041436820727,-68.73632859050329
26,148.04004883797694,413.4528864284037
27,-341.6872649745146,-456.13827204661635
28,-88.45897945201521,-543.6054406273797
29,-321.82810127628073,56.169395465717635
30,-245.22797280032376,-266.59452848245957
31,-604.5463730755704,-13.063626067279435
32,-521.6838965273743,208.9314218763742
33,-173.11239151949343,-500.4921193679469
34,-252.44001268277478,-166.1527786584512
35,-61.50868479113819,-309.01147661554984
36,-529.6796128876765,-198.6552815533486
37,-125.37754639054415,144.8801610714319
38,-594.9619060854557,-148.026045419361
39,-702.6610600759606,-236.63634298000827
