t-SNE1,t-SNE2
-87.30784,-29.76092
26.88544,41.27001
25.250563,-92.15732
-49.085457,-34.980488
0.31278914,-111.56994
-50.871864,78.470795
-61.66257,51.04127
42.402473,-48.012806
-9.672346,-73.96808
6.149138,-92.758385
77.74972,84.069
434.48935,-349.48495
-28.107428,-74.63141
28.56939,74.038925
-106.06201,-23.252657
-112.06035,464.39166
54.995956,75.29217
-13.426822,70.12202
87.763695,-5.11961
67.701706,62.599796
-3.7291136,26.275629
48.365696,13.359197
0.7637352,8.1862135
-61.531178,18.109224
-48.96327,-7.839982
19.485756,-19.608784
63.384605,26.102734
-88.71201,14.174388
10.027498,-46.27506
-24.179592,45.05305
-38.308968,-17.892097
27.651535,1.6302751
10.972276,16.592909
53.134827,-21.352106
-42.60542,56.92592
68.72967,-4.044347
33.836395,-12.256898
-66.454094,0.34753525
-15.179335,3.6690793
-6.473395,-14.59787
